Connected to MQTT broker
Sent: LAT=66.705231;LNG=92.947112;T1=23.05;SPD=14;CRS=295;TM=6896bf3c
Sent: LAT=60.249027;LNG=175.320650;T1=24.30;SPD=77;CRS=111;TM=6896bf3f
Sent: LAT=7.408676;LNG=124.674845;T1=22.59;SPD=67;CRS=345;TM=6896bf42
Sent: LAT=48.294545;LNG=152.130339;T1=22.54;SPD=68;CRS=315;TM=6896bf45
Sent: LAT=24.093900;LNG=138.925603;T1=22.10;SPD=5;CRS=179;TM=6896bf48
Sent: LAT=26.715126;LNG=98.885938;T1=27.57;SPD=65;CRS=120;TM=6896bf4b
Sent: LAT=72.190339;LNG=135.885072;T1=24.02;SPD=77;CRS=94;TM=6896bf4e
Sent: LAT=16.149834;LNG=12.922250;T1=20.91;SPD=63;CRS=105;TM=6896bf51
Sent: LAT=74.819257;LNG=103.441151;T1=28.80;SPD=90;CRS=236;TM=6896bf54
Sent: LAT=36.106247;LNG=161.375903;T1=28.49;SPD=52;CRS=35;TM=6896bf57
Sent: LAT=68.859326;LNG=29.237815;T1=22.82;SPD=84;CRS=216;TM=6896bf5a
Sent: LAT=88.212390;LNG=12.319396;T1=22.02;SPD=16;CRS=317;TM=6896bf5d
Sent: LAT=3.861627;LNG=134.376812;T1=20.77;SPD=99;CRS=350;TM=6896bf60
Sent: LAT=32.208731;LNG=66.353173;T1=26.92;SPD=75;CRS=293;TM=6896bf63
Sent: LAT=39.116682;LNG=49.160535;T1=20.25;SPD=71;CRS=165;TM=6896bf66
Sent: LAT=35.085822;LNG=139.538208;T1=26.63;SPD=75;CRS=1;TM=6896bf69
Sent: LAT=18.906683;LNG=36.305523;T1=25.65;SPD=4;CRS=49;TM=6896bf6c
Sent: LAT=60.775557;LNG=113.098930;T1=24.39;SPD=65;CRS=158;TM=6896bf6f
Sent: LAT=66.355109;LNG=113.205473;T1=22.55;SPD=24;CRS=25;TM=6896bf72
Sent: LAT=87.632466;LNG=172.647059;T1=22.74;SPD=17;CRS=87;TM=6896bf75
Sent: LAT=31.663116;LNG=116.955573;T1=29.72;SPD=6;CRS=67;TM=6896bf78
Sent: LAT=76.409933;LNG=130.868053;T1=27.54;SPD=69;CRS=132;TM=6896bf7b
Sent: LAT=2.240684;LNG=98.071235;T1=28.81;SPD=9;CRS=328;TM=6896bf7e
Sent: LAT=55.920049;LNG=25.832190;T1=28.11;SPD=66;CRS=162;TM=6896bf81
Sent: LAT=39.275766;LNG=112.859024;T1=20.41;SPD=36;CRS=80;TM=6896bf84
